운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,급속충전량,비고,주소2
제주특별자치도,제주도청 2청사,3,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 문연로 30(연동),24시간 이용가능,제한없음,,,문연로 30(연동)
제주특별자치도,제주도청 2청사,4,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 문연로 30(연동),24시간 이용가능,제한없음,,,문연로 30(연동)
제주특별자치도,제주도청 2청사,5,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 문연로 30(연동),24시간 이용가능,제한없음,,,문연로 30(연동)
제주특별자치도,제주돌문화공원,1,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 남조로 2023,24시간 이용가능,제한없음,,,조천읍 남조로 2023
제주특별자치도,제주동물위생연구소,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 와흘리 782,24시간 이용가능,제한없음,,,조천읍 와흘리 782
제주특별자치도,제주동물위생연구소,2,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 와흘리 782,24시간 이용가능,제한없음,,,조천읍 와흘리 782
제주특별자치도,제주벤처마루,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 중앙로 217제주벤처마루(이도이동 1176-67),24시간 이용가능,제한없음,,,중앙로 217제주벤처마루(이도이동 1176-67)
제주특별자치도,제주세계자연유산센터,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 선교로 569-36제주세계자연유산센터(선흘리 478),24시간 이용가능,제한없음,,,조천읍 선교로 569-36제주세계자연유산센터(선흘리 478)
제주특별자치도,제주세계자연유산센터,2,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 선교로 569-36제주세계자연유산센터(선흘리 478),24시간 이용가능,제한없음,,,조천읍 선교로 569-36제주세계자연유산센터(선흘리 478)
제주특별자치도,제주세계자연유산센터,3,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 조천읍 선교로 569-36제주세계자연유산센터(선흘리 478),24시간 이용가능,제한없음,,,조천읍 선교로 569-36제주세계자연유산센터(선흘리 478)
제주특별자치도,제주소방서,1,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 중앙로 342(이도이동),24시간 이용가능,제한없음,,,중앙로 342(이도이동)
제주특별자치도,제주소방서,2,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 중앙로 342(이도이동),24시간 이용가능,제한없음,,,중앙로 342(이도이동)
제주특별자치도,제주소방서,3,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 중앙로 342(이도이동),24시간 이용가능,제한없음,,,중앙로 342(이도이동)
제주특별자치도,제주소방서,4,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 중앙로 342(이도이동),24시간 이용가능,제한없음,,,중앙로 342(이도이동)
제주특별자치도,제주순복음사회복지관,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 천수동로 25(건입동 115-7),24시간 이용가능,제한없음,,,천수동로 25(건입동 115-7)
제주특별자치도,제주시 공영버스 주차장,1,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 수목원서길 17(노형동),24시간 이용가능,제한없음,,,수목원서길 17(노형동)
제주특별자치도,제주시 보건소,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 연삼로 264제주보건소(도남동 567-1),24시간 이용가능,제한없음,,,연삼로 264제주보건소(도남동 567-1)
제주특별자치도,제주시 보건소,2,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 연삼로 264제주보건소(도남동 567-1),24시간 이용가능,제한없음,,,연삼로 264제주보건소(도남동 567-1)
제주특별자치도,제주시 보건소,3,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 연삼로 264제주보건소(도남동 567-1),24시간 이용가능,제한없음,,,연삼로 264제주보건소(도남동 567-1)
제주특별자치도,제주시 보건소,4,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 연삼로 264제주보건소(도남동 567-1),24시간 이용가능,제한없음,,,연삼로 264제주보건소(도남동 567-1)
제주특별자치도,제주시 보건소,5,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 연삼로 264제주보건소(도남동 567-1),24시간 이용가능,제한없음,,,연삼로 264제주보건소(도남동 567-1)
제주특별자치도,제주시 보건소,6,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 연삼로 264제주보건소(도남동 567-1),24시간 이용가능,제한없음,,,연삼로 264제주보건소(도남동 567-1)
제주특별자치도,제주시 평생학습센터,1,DC차데모+AC3상+DC콤보,제주특별자치도,제주시,제주특별자치도 제주시 사라봉동길 21-1제주시청소년수련관(건입동 538),24시간 이용가능,제한없음,,,사라봉동길 21-1제주시청소년수련관(건입동 538)
제주특별자치도,제주시 평생학습센터,1,AC완속,제주특별자치도,제주시,제주특별자치도 제주시 사라봉동길 15(건입동),24시간 이용가능,제한없음,,,사라봉동길 15(건입동)
